title,genre,platforms,initial_release_date,developers,publishers
Minecraft,sandbox,Multi-platform,2011,Mojang Studios,Mojang Studios
Grand Theft Auto V,action,Multi-platform,2013,Rockstar North,Rockstar Games
Tetris (EA),other,Mobile,2006,EA Mobile,Electronic Arts
Wii Sports,sports,Wii,2006,Nintendo EAD,Nintendo
PlayerUnknown's Battlegrounds,action,Multi-platform,2017,PUBG Corporation,PUBG Corporation
Super Mario Bros.,adventure,Multi-platform,1985,Nintendo,Nintendo
Pokémon Red / Green / Blue / Yellow,adventure,Multi-platform,1996,Game Freak,Nintendo
Wii Fit and Wii Fit Plus,sports,Wii,2007,Nintendo EAD,Nintendo
Tetris (Nintendo),other,Game Boy / NES,1989,Nintendo R&D1,Nintendo
Pac-Man,action,Multi-platform,1980,Namco,Namco
Mario Kart Wii,sports,Wii,2008,Nintendo EAD,Nintendo
Mario Kart 8 / Deluxe,sports,Wii U / Switch,2014,Nintendo EAD,Nintendo
Wii Sports Resort,sports,Wii,2009,Nintendo EAD,Nintendo
Red Dead Redemption 2,action,Multi-platform,2018,Rockstar Studios,Rockstar Games
New Super Mario Bros.,action-adventure,Nintendo DS,2006,Nintendo EAD,Nintendo
Terraria,other,Multi-platform,2011,Re-Logic,Re-Logic / 505 Games
New Super Mario Bros. Wii,action-adventure,Wii,2009,Nintendo EAD,Nintendo
The Elder Scrolls V: Skyrim,sandbox,Multi-platform,2011,Bethesda Game Studios,Bethesda Softworks
Diablo III and Reaper of Souls,action-adventure,Multi-platform,2012,Blizzard Entertainment,Blizzard Entertainment
Pokémon Gold / Silver / Crystal,action,Game Boy Color,1999,Game Freak,Nintendo
Duck Hunt,sports,NES,1984,Nintendo R&D1,Nintendo
Wii Play,sports,Wii,2006,Nintendo EAD,Nintendo
The Witcher 3 / Hearts of Stone / Blood and Wine,action-adventure,Multi-platform,2015,CD Projekt Red,CD Projekt
Grand Theft Auto: San Andreas,action,Multi-platform,2004,Rockstar North,Rockstar Games
Call of Duty: Modern Warfare 3,action,Multi-platform,2011,Infinity Ward / Sledgehammer,Activision
Call of Duty: Black Ops,action,Multi-platform,2010,Treyarch,Activision
Grand Theft Auto IV,action,Multi-platform,2008,Rockstar North,Rockstar Games
Pokémon Sun / Moon / Ultra Sun / Ultra Moon,adventure,Nintendo 3DS,2016,Game Freak,Nintendo / The Pokémon Company
Pokémon Diamond / Pearl / Platinum,adventure,Nintendo DS,2006,Game Freak,Nintendo / The Pokémon Company
Call of Duty: Black Ops II,action,Multi-platform,2012,Treyarch,Activision
Kinect Adventures!,adventure,Xbox 360,2010,Good Science Studio,Xbox Game Studios
FIFA 18,sports,Multi-platform,2017,EA Canada,Electronic Arts
Sonic the Hedgehog,action,Multi-platform,1991,Sonic Team,Sega
Nintendogs,sandbox,Nintendo DS,2005,Nintendo EAD,Nintendo
Mario Kart DS,sports,Nintendo DS,2005,Nintendo EAD,Nintendo
Call of Duty: Modern Warfare 2,action,Multi-platform,2009,Infinity Ward,Activision
Pokémon Ruby / Sapphire / Emerald,action,Game Boy Advance,2002,Game Freak,Nintendo / The Pokémon Company
Borderlands 2,action,Multi-platform,2012,Gearbox Software,2K Games
Super Mario World,action-adventure,Multi-platform,1990,Nintendo EAD,Nintendo
Frogger,strategy,Multi-platform,1981,Konami,Sega
Lemmings,strategy,Multi-platform,1991,DMA Design,Psygnosis
Grand Theft Auto: Vice City,action,Multi-platform,2002,Rockstar North,Rockstar Games
The Last of Us,adventure,PS3 / PS4,2013,Naughty Dog,Sony Computer Entertainment
The Legend of Zelda: Breath of the Wild,action-adventure,Switch / Wii U,2017,Nintendo EPD,Nintendo
Brain Age,other,Nintendo DS,2005,Nintendo SPD,Nintendo
Super Mario Bros. 3,action-adventure,Multi-platform,1988,Nintendo,Nintendo
Call of Duty: Ghosts,action,Multi-platform,2013,Infinity Ward,Activision
Super Smash Bros. Ultimate,action,Nintendo Switch,2018,Bandai Namco Studios / Sora Ltd.,Nintendo
Mario Kart 7,sports,Nintendo 3DS,2011,Nintendo EAD,Nintendo
Super Mario Land,action-adventure,Multi-platform,1989,Nintendo R&D1,Nintendo
Gran Turismo 4,sports,PS2 / PSP,2004,Polyphony Digital,Sony Computer Entertainment
